class,Order,Family,Genus,Genus_species
Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus savana
Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus melancholicus
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis
Aves,Passeriformes,Fringillidae,Fringilla,Fringilla teydea
Aves,Passeriformes,Paridae,Poecile,Poecile montanus
Aves,Passeriformes,Acanthizidae,Smicrornis,Smicrornis brevirostris
Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus baudinii
Aves,Passeriformes,Petroicidae,Poecilodryas,Poecilodryas albonotata
Aves,Passeriformes,Vangidae,Oriolia,Oriolia bernieri
Aves,Passeriformes,Paridae,Parus,Parus major
Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes troglodytes
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza jankowskii
Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus sibiricus
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus ibericus
Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae
Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris
Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica
Aves,Strigiformes,Strigidae,Ninox,Ninox novaeseelandiae
Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus poiciloptilus
Aves,Passeriformes,Motacillidae,Motacilla,Motacilla flava
Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
Aves,Passeriformes,Hirundinidae,Progne,Progne chalybea
Aves,Passeriformes,Vireonidae,Vireo,Vireo gilvus
Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria albatrus
Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus pelagicus
Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala phaionota
Aves,Passeriformes,,,
Aves,Charadriiformes,Alcidae,Pinguinus,Pinguinus impennis
Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium radiatum
Aves,Passeriformes,Leiothrichidae,Pterorhinus,Pterorhinus sannio
Aves,Passeriformes,Paradoxornithidae,Fulvetta,Fulvetta cinereiceps
Aves,Passeriformes,Paradoxornithidae,Lioparus,Lioparus chrysotis
Aves,Passeriformes,Timaliidae,Pomatorhinus,Pomatorhinus ruficollis
Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus funereus
Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus banksii
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua galerita
Aves,Psittaciformes,Cacatuidae,Cacatua,Cacatua sulphurea
Aves,Passeriformes,Petroicidae,Tregellasia,Tregellasia leucops
Aves,Passeriformes,Sittidae,Sitta,Sitta krueperi
Aves,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani
Aves,Anseriformes,Anatidae,Anser,Anser indicus
Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres tristis
Aves,Passeriformes,Leiothrichidae,Pterorhinus,Pterorhinus lanceolatus
Aves,Passeriformes,Alaudidae,Galerida,Galerida cristata
Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus indicus
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo
Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis
Aves,Passeriformes,Cettiidae,Horornis,Horornis diphone
Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus melancholicus
Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus inornatus
Aves,Passeriformes,Tyrannidae,Hemitriccus,Hemitriccus diops
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,Regulidae,Regulus,Regulus satrapa
Aves,Passeriformes,Cardinalidae,Cyanocompsa,Cyanocompsa cyanoides
Aves,Apodiformes,Trochilidae,Coeligena,Coeligena coeligena
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza godlewskii
Aves,Procellariiformes,Hydrobatidae,Hydrobates,
Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia
Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia
Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia
Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia
Aves,Passeriformes,Ploceidae,Ploceus,Ploceus cucullatus
Aves,Passeriformes,Sittidae,Sitta,Sitta krueperi
Aves,Piciformes,Picidae,Colaptes,Colaptes campestris
Aves,Strigiformes,Strigidae,Athene,Athene noctua
Aves,Passeriformes,Acanthizidae,Aethomyias,Aethomyias papuensis
Aves,Columbiformes,Columbidae,Leptotila,Leptotila verreauxi
Aves,Falconiformes,Falconidae,Falco,Falco novaeseelandiae
Aves,Gruiformes,Rallidae,Fulica,Fulica alai
Aves,Passeriformes,Corvidae,Corvus,Corvus frugilegus
Aves,Gruiformes,Rallidae,Porzana,Porzana fusca
Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius dubius
Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula narcissina
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Passeriformes,,,
Aves,Columbiformes,,,
Aves,Piciformes,,,
Aves,Apodiformes,,,
Aves,Passeriformes,Paridae,Cyanistes,Cyanistes teneriffae
Aves,Anseriformes,Anatidae,Chenonetta,Chenonetta jubata
Aves,Passeriformes,Mimidae,Dumetella,Dumetella carolinensis
Aves,Passeriformes,Thamnophilidae,Thamnistes,Thamnistes anabatinus
Aves,Passeriformes,Tyrannidae,Oncostoma,Oncostoma cinereigulare
Aves,Passeriformes,,,
Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula albicilla
Aves,Passeriformes,Laniidae,Lanius,Lanius collurio
Aves,Accipitriformes,Accipitridae,Aquila,
Aves,Galliformes,Phasianidae,Tetrao,
Aves,Passeriformes,Paridae,Parus,Parus major
